mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
0.3,5.139022774199925,low,1,0.95745,0.9939,0.9756750000000001,0.95745,-6.412912549401938,4.25597341659199
0.3,5.139022774199925,low,2,0.9972,0.99705,0.997125,0.99705,-12.825825098803875,8.15624454201254
0.3,5.139022774199925,low,3,0.99915,0.99905,0.9991,0.99905,-19.238737648205813,12.065761637400563
0.3,5.139022774199925,low,4,0.9999,1.0,0.99995,0.9999,-25.65165019760775,16.03498103905543
0.3,5.139022774199925,low,5,0.9999,0.99995,0.999925,0.9999,-32.06456274700969,19.943983450618227
0.3,5.139022774199925,low,6,0.9999,0.99995,0.999925,0.9999,-38.477475296411626,23.885804689819413
0.3,5.139022774199925,low,7,1.0,1.0,1.0,1.0,-44.890387845813564,27.784317185295578
0.3,5.139022774199925,low,8,1.0,1.0,1.0,1.0,-51.3033003952155,31.715739476906542
0.3,5.139022774199925,low,9,1.0,1.0,1.0,1.0,-57.71621294461744,35.623877827661154
0.3,5.139022774199925,low,10,1.0,1.0,1.0,1.0,-64.12912549401938,39.52203152169487
0.3,5.139022774199925,low,11,1.0,1.0,1.0,1.0,-70.54203804342131,43.43497378056581
0.3,5.139022774199925,low,12,1.0,1.0,1.0,1.0,-71.66473438953693,47.36476762809325
0.3,5.139022774199925,low,13,1.0,1.0,1.0,1.0,-78.07764693893887,51.28848055428847
0.3,5.139022774199925,low,14,1.0,1.0,1.0,1.0,-84.4905594883408,55.18414594774924
0.3,5.139022774199925,low,15,1.0,1.0,1.0,1.0,-90.90347203774274,59.111725632448795
0.3,5.139022774199925,low,16,1.0,1.0,1.0,1.0,-95.96849267284695,63.062401562525736
0.3,5.139022774199925,low,17,1.0,1.0,1.0,1.0,-102.38140522224887,66.97733840303678
0.3,5.139022774199925,low,18,1.0,1.0,1.0,1.0,-108.79431777165081,70.88559974313313
0.3,5.139022774199925,low,19,1.0,1.0,1.0,1.0,-114.1612288375978,74.78802268701618
0.3,5.139022774199925,low,20,1.0,1.0,1.0,1.0,-120.57414138699974,78.68366962663437
0.3,5.139022774199925,low,21,1.0,1.0,1.0,1.0,-126.98705393640168,82.60160508483915
0.3,5.139022774199925,low,22,1.0,1.0,1.0,1.0,-132.58200288604837,86.52224578770614
0.3,5.139022774199925,low,23,1.0,1.0,1.0,1.0,-138.9949154354503,90.41053374031166
0.3,5.139022774199925,low,24,1.0,1.0,1.0,1.0,-144.70977915428642,94.32002802288211
0.3,5.139022774199925,low,25,1.0,1.0,1.0,1.0,-150.55194152604275,98.26669834520209
0.3,5.139022774199925,low,26,1.0,1.0,1.0,1.0,-156.9648540754447,102.13614060147121
0.3,5.139022774199925,low,27,1.0,1.0,1.0,1.0,-162.89170512423385,106.0233869233059
0.3,5.139022774199925,low,28,1.0,1.0,1.0,1.0,-168.89266541726033,109.94125586354497
0.3,5.139022774199925,low,29,1.0,1.0,1.0,1.0,-174.76326650084548,113.87144637674064
0.3,5.139022774199925,low,30,1.0,1.0,1.0,1.0,-180.45905216118774,117.78025640044335
0.3,5.139022774199925,low,31,1.0,1.0,1.0,1.0,-186.87196471058968,121.73810222486841
0.3,5.139022774199925,low,32,1.0,1.0,1.0,1.0,-192.23887577653667,125.63247229782807
0.3,5.139022774199925,low,33,1.0,1.0,1.0,1.0,-197.83382472618337,129.57128742241008
0.3,5.139022774199925,low,34,1.0,1.0,1.0,1.0,-203.71680896104283,133.47858119430055
0.3,5.139022774199925,low,35,1.0,1.0,1.0,1.0,-209.96160099442142,137.4171136914909
0.3,5.139022774199925,low,36,1.0,1.0,1.0,1.0,-215.80376336617775,141.28480761856264
0.3,5.139022774199925,low,37,1.0,1.0,1.0,1.0,-221.90954512579367,145.22722438853174
0.3,5.139022774199925,low,38,1.0,1.0,1.0,1.0,-227.85244672832948,149.12790126957555
0.3,5.139022774199925,low,39,1.0,1.0,1.0,1.0,-233.9174066248423,153.08746104351735
0.3,5.139022774199925,low,40,1.0,1.0,1.0,1.0,-240.06374443398536,156.98516602432235
0.3,5.139022774199925,low,41,1.0,1.0,1.0,1.0,-246.0343726982769,160.9081392449105
0.3,5.139022774199925,low,42,1.0,1.0,1.0,1.0,-251.88734526483668,164.8132826233193
0.3,5.139022774199925,low,43,1.0,1.0,1.0,1.0,-258.053044392129,168.6936573185494
0.3,5.139022774199925,low,44,1.0,1.0,1.0,1.0,-263.90361016607363,172.63739994375783
0.3,5.139022774199925,low,45,1.0,1.0,1.0,1.0,-270.01463228463274,176.50214392793023
0.3,5.139022774199925,low,46,1.0,1.0,1.0,1.0,-275.9595797440558,180.4415707522695
0.3,5.139022774199925,low,47,1.0,1.0,1.0,1.0,-281.7944558999817,184.38897064472584
0.3,5.139022774199925,low,48,1.0,1.0,1.0,1.0,-287.950794373939,188.26026150862828
0.3,5.139022774199925,low,49,1.0,1.0,1.0,1.0,-293.8023173990303,192.18015342165359
0.3,5.139022774199925,low,50,1.0,1.0,1.0,1.0,-299.6853016338897,196.10700510702827
0.3,5.139022774199925,low,51,1.0,1.0,1.0,1.0,-305.58214101437926,200.0071445701911
0.3,5.139022774199925,low,52,1.0,1.0,1.0,1.0,-311.69316313293837,203.909429432911
0.3,5.139022774199925,low,53,1.0,1.0,1.0,1.0,-317.65478962261807,207.81637538494388
0.3,5.139022774199925,low,54,1.0,1.0,1.0,1.0,-323.55207965437364,211.79306675274938
0.3,5.139022774199925,low,55,1.0,1.0,1.0,1.0,-329.4789307031628,215.71721579919011
0.3,5.139022774199925,low,56,1.0,1.0,1.0,1.0,-335.52039470037903,219.58655616770534
0.3,5.139022774199925,low,57,1.0,1.0,1.0,1.0,-341.4867922022114,223.44953756585718
0.3,5.139022774199925,low,58,1.0,1.0,1.0,1.0,-347.3805866318743,227.37342230316344
